source,target,anchor_texts,target_dead
https://policylibrary.gatech.edu/information-technology/data-resources,https://security.gatech.edu/information-security-procedures-standards-and-forms/,Security Procedures and Standards,False
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://gatech.service-now.com/governance?id=sc_cat_item&sys_id=84c6c452e7600300dd926217c2f6a980&sysparm_category=d3187660db6f0050391b9837db961977,Policy Exception Request form,False
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://get.adobe.com/reader/,Download Acrobat Reader,False
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use Policy,False
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/sites/default/files/Exception%2520Request%2520Process%2520Flowchart.pdf,Exception Request Process Flowchart.pdf,True
https://policylibrary.gatech.edu/information-technology/policy-exceptions,https://www.oit.gatech.edu/service/information-security/security-policies-standards-and-procedures,Georgia Tech IT Policy Website,True
https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use Policy,False
https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://security.gatech.edu/report-vulnerability,https://security.gatech.edu/report-vulnerability,True
https://policylibrary.gatech.edu/legal/security-camera-use,https://gtlowvoltagestandards.gatech.edu/node/123,http://gtlowvoltagestandards.gatech.edu/node/123,True
https://policylibrary.gatech.edu/legal/security-camera-use,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,True
https://policylibrary.gatech.edu/legal/security-camera-use,https://www.police.gatech.edu/documents/reportrequest.pdf,GTPD Report Request Form,True
https://policylibrary.gatech.edu/legal/security-camera-use,https://www.police.gatech.edu/frequently-asked-questions,See GTPD website at,False
https://policylibrary.gatech.edu/legal/security-camera-use,https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use Policy,False
https://policylibrary.gatech.edu/legal/security-camera-use,https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://policylibrary.gatech.edu/legal/security-camera-use,https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://policylibrary.gatech.edu/legal/security-camera-use,https://www.usg.edu/audit/compliance/ethics/,University System of Georgia Ethics Policy,False
https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,True
https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,Policy Exceptions,False
https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,Responsible Disclosure Policy,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://gatech.service-now.com/technology?id=sc_category&sys_id=8ed06af7dbcf8c10fc9efe8d0f96195d,Protected Data Practices,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,Responsible Disclosure Policy,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,https://secure.ethicspoint.com/domain/en/report_custom.asp?clientid=7508,True
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://security.gatech.edu/information-security-procedures-standards-and-forms/,Security Procedures and Standards,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://security.gatech.edu/report-incident/,https://security.gatech.edu/report-incident,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://security.gatech.edu/system-administration-responsibilities/,System Administration Responsibilities,False
https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,https://www.policylibrary.gatech.edu/information-technology/password-policy,Password Policy,False
https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,https://security.gatech.edu/information-security-procedures-standards-and-forms/,Security Standards and Procedures,False
